Portfolio_Disclosure,Control,Control_Name,Theme,Applicable,Implementation_Status,Justification
SIMULATED portfolio exercise; fictional agency and system,5.19,Information security in supplier relationships,Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,5.20,Addressing information security within supplier agreements,Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,5.21,Managing information security in the ICT supply chain,Organizational,Yes,Partially implemented,Supply chain procedure for the container base image pipeline and the third party charting library is drafted but not yet approved by the System Owner. Tracked as risk R-06 and as POA-006 in the FedRAMP repository. Target 31 August 2026.
SIMULATED portfolio exercise; fictional agency and system,5.22,"Monitoring, review and change management of supplier services",Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,5.23,Information security for use of cloud services,Organizational,Yes,Implemented,"Cloud service use governed by the provider agreement, the shared responsibility split recorded in the control responsibility matrix, and annual review of the provider's certification."
SIMULATED portfolio exercise; fictional agency and system,5.24,Information security incident management planning and preparation,Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,5.25,Assessment and decision on information security events,Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,5.26,Response to information security incidents,Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,5.27,Learning from information security incidents,Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,5.28,Collection of evidence,Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,5.29,Information security during disruption,Organizational,Yes,Partially implemented,Continuity plan documented and updated 31 July 2026. The functional restore test that would verify the four hour recovery objective has not yet been performed. Tracked as risk R-07 and POA-005. Target 15 September 2026.
SIMULATED portfolio exercise; fictional agency and system,5.30,ICT readiness for business continuity,Organizational,Yes,Partially implemented,ICT readiness documented; recovery time objective unverified pending the functional test. Same dependency as 5.29.
SIMULATED portfolio exercise; fictional agency and system,5.31,"Legal, statutory, regulatory and contractual requirements",Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,5.32,Intellectual property rights,Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,5.33,Protection of records,Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,5.34,Privacy and protection of PII,Organizational,Yes,Implemented,Privacy threshold analysis and privacy impact assessment completed by the Senior Agency Official for Privacy. Personal information limited to what the grant process requires.
SIMULATED portfolio exercise; fictional agency and system,5.35,Independent review of information security,Organizational,Yes,Implemented,"Independent assessment by a third party assessor reporting to the CISO, completed March 2026, plus the ISMS internal audit completed June 2026."
SIMULATED portfolio exercise; fictional agency and system,5.36,"Compliance with policies, rules and standards for information security",Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,5.37,Documented operating procedures,Organizational,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,6.1,Screening,People,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,6.2,Terms and conditions of employment,People,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,6.3,"Information security awareness, education and training",People,Yes,Implemented,"Annual security literacy and awareness training, tracked monthly. 418 of 420 agency users current at 31 July 2026, the remaining two inside their grace period."
SIMULATED portfolio exercise; fictional agency and system,6.4,Disciplinary process,People,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,6.5,Responsibilities after termination or change of employment,People,Yes,Partially implemented,"Accounts are disabled within one business day of separation, verified on all nine separations in the sample period. The signed separation checklist was on file for seven of nine. Tracked as POA-009."
SIMULATED portfolio exercise; fictional agency and system,6.6,Confidentiality or non-disclosure agreements,People,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,6.7,Remote working,People,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,6.8,Information security event reporting,People,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,7.1,Physical security perimeters,Physical,Yes,Implemented by supplier,"Provider data centre perimeter. Evidence: the provider's current certification and authorisation package, reviewed annually under 5.22."
SIMULATED portfolio exercise; fictional agency and system,7.2,Physical entry,Physical,Yes,Implemented by supplier,Provider controls physical entry to the facility.
SIMULATED portfolio exercise; fictional agency and system,7.3,"Securing offices, rooms and facilities",Physical,Yes,Implemented by supplier,Provider facility. Agency offices hold no in-scope processing.
SIMULATED portfolio exercise; fictional agency and system,7.4,Physical security monitoring,Physical,Yes,Implemented by supplier,Provider surveillance and intrusion detection.
SIMULATED portfolio exercise; fictional agency and system,7.5,Protecting against physical and environmental threats,Physical,Yes,Implemented by supplier,"Provider fire suppression, flood and environmental protection."
SIMULATED portfolio exercise; fictional agency and system,7.6,Working in secure areas,Physical,No,Not applicable,"No secure area as defined by the standard is operated by the agency within the ISMS scope. All in-scope processing occurs in the cloud provider's facility, which is addressed through supplier controls 5.19 to 5.22 and the provider's own certification."
SIMULATED portfolio exercise; fictional agency and system,7.7,Clear desk and clear screen,Physical,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,7.8,Equipment siting and protection,Physical,Yes,Implemented by supplier,Equipment siting inside the provider facility.
SIMULATED portfolio exercise; fictional agency and system,7.9,Security of assets off-premises,Physical,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,7.10,Storage media,Physical,No,Not applicable,Removable storage media is prohibited by policy and blocked technically on all endpoints through device control. No in-scope information is held on physical media at any point in its lifecycle. Verified by the internal audit in June 2026.
SIMULATED portfolio exercise; fictional agency and system,7.11,Supporting utilities,Physical,Yes,Implemented by supplier,"Provider power, cooling and redundancy."
SIMULATED portfolio exercise; fictional agency and system,7.12,Cabling security,Physical,No,Not applicable,"The agency controls no cabling that carries in-scope information. Agency offices connect over the agency wide area network, which is a separate certified scope; in-scope processing cabling is inside the provider facility and addressed through supplier controls."
SIMULATED portfolio exercise; fictional agency and system,7.13,Equipment maintenance,Physical,Yes,Implemented by supplier,Provider hardware maintenance. Agency endpoints are covered separately under 8.1.
SIMULATED portfolio exercise; fictional agency and system,7.14,Secure disposal or re-use of equipment,Physical,Yes,Implemented by supplier,Provider media sanitisation on decommissioning. Certificate of destruction available on request.
SIMULATED portfolio exercise; fictional agency and system,8.1,User endpoint devices,Technological,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,8.2,Privileged access rights,Technological,Yes,Implemented,"Three privileged groups, 16 members, full population reviewed quarterly. Privileged actions performed from a role assumed for the task with a justification string logged."
SIMULATED portfolio exercise; fictional agency and system,8.3,Information access restriction,Technological,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,8.4,Access to source code,Technological,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,8.5,Secure authentication,Technological,Yes,Implemented,Federated authentication. PIV card for 420 agency users; authenticator application multifactor for 65 external reviewers since 24 July 2026.
SIMULATED portfolio exercise; fictional agency and system,8.6,Capacity management,Technological,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,8.7,Protection against malware,Technological,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,8.8,Management of technical vulnerabilities,Technological,Yes,Partially implemented,"Weekly authenticated scanning, per build container scanning and defined service levels are in place. Two gaps in July 2026: two database instances outside scan scope, and a transitive dependency vulnerability the scanner was not configured to resolve. Tracked as POA-011 and POA-012."
SIMULATED portfolio exercise; fictional agency and system,8.9,Configuration management,Technological,Yes,Implemented,"Hardened baseline images per tier. Continuous compliance evaluation active since July 2026, which closed the drift detection gap found at assessment."
SIMULATED portfolio exercise; fictional agency and system,8.10,Information deletion,Technological,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,8.11,Data masking,Technological,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,8.12,Data leakage prevention,Technological,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,8.13,Information backup,Technological,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,8.14,Redundancy of information processing facilities,Technological,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,8.15,Logging,Technological,Yes,Implemented,"Seven log groups, one year online and two years archived, retention corrected on all groups in March 2026."
SIMULATED portfolio exercise; fictional agency and system,8.16,Monitoring activities,Technological,Yes,Partially implemented,Daily alert triage is evidenced. The weekly correlated review of privileged activity produced evidence for 2 of 4 weeks in July 2026. Automation in build. Tracked as POA-004.
SIMULATED portfolio exercise; fictional agency and system,8.17,Clock synchronization,Technological,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,8.18,Use of privileged utility programs,Technological,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,8.19,Installation of software on operational systems,Technological,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,8.20,Networks security,Technological,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,8.21,Security of network services,Technological,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,8.22,Segregation of networks,Technological,Yes,Implemented,Three tier subnet model. The data subnet has no route to the internet.
SIMULATED portfolio exercise; fictional agency and system,8.23,Web filtering,Technological,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,8.24,Use of cryptography,Technological,Yes,Partially implemented,Cryptography is applied throughout. One gap remains: snapshots replicated to the secondary region are not yet encrypted under a customer managed key. Tracked as risk R-12 and POA-007. Target 30 September 2026.
SIMULATED portfolio exercise; fictional agency and system,8.25,Secure development life cycle,Technological,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,8.26,Application security requirements,Technological,Yes,Implemented,"Input validation on all 31 user supplied fields, allow list based, with context aware output encoding as a second layer."
SIMULATED portfolio exercise; fictional agency and system,8.27,Secure system architecture and engineering principles,Technological,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,8.28,Secure coding,Technological,Yes,Implemented,"Peer review required before merge, dependency scanning in the pipeline, parameterised queries throughout."
SIMULATED portfolio exercise; fictional agency and system,8.29,Security testing in development and acceptance,Technological,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,8.30,Outsourced development,Technological,No,Not applicable,All development is performed by agency staff and by provider staff working under direct agency technical direction. There is no outsourced development contract in scope. This exclusion is void if development work is contracted out.
SIMULATED portfolio exercise; fictional agency and system,8.31,"Separation of development, test and production environments",Technological,Yes,Implemented,"Development, test and production are separate accounts with no shared credentials and no production data in lower environments."
SIMULATED portfolio exercise; fictional agency and system,8.32,Change management,Technological,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
SIMULATED portfolio exercise; fictional agency and system,8.33,Test information,Technological,Yes,Implemented,Test data is synthetic. Production data is never copied into a lower environment.
SIMULATED portfolio exercise; fictional agency and system,8.34,Protection of information systems during audit testing,Technological,Yes,Implemented,Implemented as part of the ISMS. Evidence retained in RSA Archer and sampled at internal audit.
